Note,Enharmonic
Abb,G
Ab,G#
A,A
A#,A#
Ax,B
Bbb,A
Bb,A#
B,B
B#,C
Bx,C#
Cbb,A#
Cb,B
C,C
C#,C#
Cx,D
Dbb,C
Db,C#
D,D
D#,D#
Dx,E
Ebb,D
Eb,D#
E,E
E#,F
Ex,F#
Fbb,D#
Fb,E
F,F
F#,F#
Fx,G
Gbb,F
Gb,F#
G,G
G#,G#
Gx,A
